Unnamed: 0,area,ciudad,zona,residuos,residuos_especiales,agua,energia,conciencia,final
228,rural,10151,BAÑOS,1.0,1.0,0.0,1.0,1.0,1
229,rural,10151,BAÑOS,0.0,0.5,0.0,1.0,1.0,1
230,rural,10151,BAÑOS,1.0,0.5,0.0,0.0,0.5,2
231,rural,10151,BAÑOS,1.0,0.0,0.5,0.5,1.0,0
232,urbana,10152,CUMBE,1.0,1.0,0.5,0.0,0.0,2
233,urbana,10152,CUMBE,1.0,0.5,0.0,1.0,1.0,1
234,urbana,10152,CUMBE,0.0,0.5,0.0,1.0,1.0,1
235,urbana,10152,CUMBE,1.0,0.5,0.0,1.0,0.0,1
236,urbana,10152,CUMBE,1.0,0.0,0.0,1.0,0.0,1
237,urbana,10152,CUMBE,1.0,0.0,1.0,1.0,0.0,0
238,urbana,10152,CUMBE,1.0,1.0,0.0,1.0,1.0,1
239,urbana,10152,CUMBE,1.0,0.5,0.0,1.0,0.5,1
240,urbana,10152,CUMBE,0.5,0.5,1.0,1.0,0.5,0
241,urbana,10152,CUMBE,0.0,0.0,1.0,0.0,1.0,0
242,urbana,10152,CUMBE,0.0,0.5,0.0,0.5,0.0,2
243,urbana,10152,CUMBE,0.0,0.5,1.0,0.0,1.0,0
244,rural,10154,CHECA (JIDCAY),1.0,0.0,0.5,0.5,0.5,0
245,rural,10154,CHECA (JIDCAY),0.5,0.5,1.0,0.5,0.0,0
246,rural,10154,CHECA (JIDCAY),0.0,0.5,0.0,0.5,1.0,1
247,rural,10154,CHECA (JIDCAY),0.0,0.0,0.5,0.0,1.0,2
248,rural,10154,CHECA (JIDCAY),0.5,0.0,0.5,1.0,1.0,1
249,rural,10154,CHECA (JIDCAY),1.0,0.0,0.5,1.0,1.0,1
250,rural,10154,CHECA (JIDCAY),0.0,0.5,0.5,0.0,1.0,2
251,rural,10154,CHECA (JIDCAY),1.0,0.0,0.5,1.0,1.0,1
252,rural,10154,CHECA (JIDCAY),0.0,0.0,0.5,0.0,0.5,2
253,rural,10154,CHECA (JIDCAY),0.0,0.5,0.5,0.5,1.0,1
254,rural,10154,CHECA (JIDCAY),0.0,0.5,0.5,1.0,0.5,1
255,rural,10154,CHECA (JIDCAY),1.0,0.5,1.0,0.0,1.0,0
256,rural,10156,LLACAO,0.5,0.0,0.0,1.0,0.5,1
257,rural,10156,LLACAO,1.0,0.5,1.0,0.0,0.5,0
258,rural,10156,LLACAO,0.0,0.0,0.0,1.0,0.0,1
259,rural,10156,LLACAO,1.0,0.5,1.0,1.0,1.0,0
