indice,residuos,residuos_especiales,agua,energia,conciencia
492,0,1,1,0.5,0
493,1,0,1,1,1
494,1,0.5,1,1,1
495,0.5,1,1,0.5,1
496,0.5,0,0.5,1,1
497,1,0,0.5,0,1
498,0,1,0,1,1
499,0,1,0,1,1
500,1,0,0,1,1
501,1,0.5,1,1,1
502,0.5,0,0.5,1,1
503,1,0,0.5,0.5,1
504,0,0.5,0.5,1,1
505,0,1,0,1,0
506,1,0,1,1,0.5
507,0.5,0,1,1,1
508,1,0,0,1,1
509,0.5,0,1,0.5,1
510,0.5,0,0.5,1,1
511,0.5,0,0,1,1
512,1,0,1,0.5,1
513,0.5,0,0,1,1
514,0.5,0,1,1,1
515,1,0,0,1,1
516,1,0,1,1,1
517,1,0,0,1,1
518,0,0,1,1,1
519,0.5,0,0.5,1,1
520,1,0,0,0.5,1
521,0.5,0,0,1,1
522,0.5,0,0,1,1
523,0.5,0,0,0.5,1
524,1,0,0,0,1
525,0.5,0,0,0.5,1
526,1,0,0,1,1
527,1,0,0,0,1
528,1,0,0,0,1
529,1,0,0,0,1
530,1,1,0.5,1,1
531,0,0.5,0,0.5,1
532,0,0,0.5,1,1
533,1,0,0.5,0,1
534,1,0,0,0,1
535,0.5,0.5,1,0.5,1
536,1,0,1,1,1
537,1,0,1,1,1
538,0.5,0,1,1,1
539,0,0.5,0,0,0
540,1,0.5,1,1,0.5
541,0.5,0.5,0.5,0.5,1
542,0,0,0,0.5,0.5
543,0.5,0,0.5,1,1
544,1,0,1,0,1
545,1,0,0.5,1,1
546,1,0,1,0.5,1
547,1,0,0,0.5,1
548,1,1,0.5,0.5,0.5
549,1,0,1,0.5,1
550,1,0,1,1,1
551,1,0,0,1,1
552,0.5,0,1,1,0.5
553,1,0,0.5,1,1
554,1,0.5,0.5,1,0.5
555,1,0,1,0.5,1
556,1,0,1,1,1
557,1,0.5,0,1,0.5
558,1,0,1,1,1
559,1,0.5,1,0.5,1
560,1,0.5,1,1,0.5
561,1,0,1,0,1
562,1,0,1,1,1
563,1,0,1,0,1
564,1,0,0.5,1,1
565,1,0.5,1,1,1
566,1,0,0,1,1
567,1,0,1,0.5,1
568,0.5,0,0,0.5,1
569,0.5,0,0.5,1,1
570,1,0.5,0,0.5,1
571,1,0,1,1,1
572,1,0.5,1,0,1
573,1,0.5,0.5,1,1
574,0,0,1,1,1
575,0.5,0,0,0,1
576,1,0,1,1,1
577,1,0.5,1,1,1
578,1,1,1,1,1
579,0,1,1,1,1
580,0,1,0,1,0
581,0,0.5,1,1,1
582,1,0,1,0.5,1
583,0,1,1,1,0
584,0,0,1,1,1
585,0.5,0,0.5,1,1
586,1,0,1,1,1
587,1,0,1,1,1
588,0,0,1,1,1
589,0,1,0,1,0
590,1,0,1,0.5,0
591,1,0.5,1,1,1
592,0.5,0,1,1,1
593,0.5,0,1,1,1
594,0,1,0.5,1,0
595,0,0,0.5,1,1
596,0,0,0,1,1
597,0,1,0,1,0
598,1,0,1,1,0
599,1,0,0.5,1,1
600,1,0,1,1,1
601,1,0,1,1,0.5
602,1,0,0,1,1
603,1,0.5,0.5,1,0.5
604,1,0.5,0,1,0.5
605,0,0.5,0,0,0.5
606,0.5,0.5,1,0.5,0.5
607,0,0.5,0,1,0
608,0,0.5,0,1,1
609,1,0.5,0.5,0,0.5
610,1,0,0,0.5,1
611,0.5,0,0.5,1,1
612,1,0,1,0.5,1
613,0.5,0,0.5,0.5,1
614,1,0.5,1,1,0.5
615,0,0,1,1,0
616,0,0.5,0.5,1,0
617,1,0,0,1,1
618,1,1,0.5,0.5,1
619,1,0.5,0.5,1,0
620,0,1,0.5,0.5,1
621,1,0.5,1,1,0
622,0.5,0.5,1,0,0.5
623,0.5,0,0,1,0.5
624,0.5,0,0,1,0.5
625,0.5,0,0.5,1,1
626,0.5,0.5,0,1,0
627,0.5,0,0,1,0.5
628,0,0,1,0,0.5
629,0.5,1,0,0,0.5
630,0.5,0,0,1,0.5
631,0.5,0,0,1,0.5
632,0.5,0,1,1,0.5
633,0,1,0,0,1
634,1,1,1,0,1
635,0.5,0,1,0.5,0
636,1,1,0,0,0
637,0.5,0.5,1,1,1
638,0,0,1,0,0.5
639,1,1,1,1,0
640,0.5,1,1,0.5,0.5
641,1,0.5,1,0.5,0
642,0.5,0.5,1,0.5,1
643,1,1,1,0,0.5
644,0.5,0,1,0,0.5
645,0.5,1,1,0,0.5
646,1,1,1,0,1
647,1,1,0,0,1
648,1,1,1,1,0.5
649,0.5,1,0.5,0,0.5
650,1,1,0,1,0
651,0.5,1,0,0.5,0.5
652,1,1,0.5,1,0
653,1,1,1,1,0
654,1,0.5,0,0,0
655,1,1,0,0,0
656,1,1,0.5,0,0.5
657,1,0.5,1,0,0.5
658,1,0,0.5,0,1
659,1,0,0.5,0.5,1
660,1,1,0,1,1
661,1,1,0,1,1
662,1,1,0,1,1
663,1,0,1,1,1
664,0.5,0,0.5,0,1
665,0.5,1,0,1,0
666,0.5,0.5,0,0.5,1
667,0,1,0,0,1
668,0,0,1,1,1
669,0,1,0,1,0
670,1,1,0,1,1
671,0,1,0,0,1
672,0.5,0.5,0,1,0.5
673,0,0.5,0,1,0.5
674,1,0,1,0,1
675,1,0,0.5,0.5,1
676,0.5,0.5,0,0,1
677,0,0.5,0.5,0.5,1
678,0.5,1,0,0,1
679,1,0,0.5,0,1
680,0,0.5,0.5,0,1
681,0.5,0,1,0.5,1
682,1,0.5,0,0.5,1
683,1,0.5,1,0.5,1
684,1,0.5,0,0,1
685,1,0.5,0,1,1
686,0,0.5,1,0,0
687,1,0,0,0,0.5
688,0,0.5,1,1,0.5
689,0,0.5,0.5,1,1
690,0,0.5,0.5,1,0.5
